key,en,fr
data:seats held by women in the parliament of:,Seats held by women in the parliament,
data:secondary,Secondary education,
data:seized arms and parts,Seized arms and parts,
data:seized arms and parts (number),Seized arms and parts,
data:seizures by authorities concerning the protection of species,Seizures by authorities concerning the protection of species,
data:seizures by authorities concerning the protection of species (number),Seizures by authorities concerning the protection of species,
data:serious and grievous bodily harm,Serious and grievous bodily harm,
data:sex,Sex,
data:sex (all age groups),Sex (all age groups),
"data:sex (all age groups, with and without disabilities)","Sex (all age groups, with and without disabilities)",
data:sexual exploitation,Sexual exploitation,
"data:sexual exploitation, 14 to under 18 years","Sexual exploitation, 14 to under 18 years",
"data:sexual exploitation, 18 to under 21 years","Sexual exploitation, 18 to under 21 years",
"data:sexual exploitation, 21 to under 25 years","Sexual exploitation, 21 to under 25 years",
"data:sexual exploitation, 25 years and over","Sexual exploitation, 25 years and over",
"data:sexual exploitation, female","Sexual exploitation, female",
"data:sexual exploitation, male","Sexual exploitation, male",
"data:sexual exploitation, under 14 years","Sexual exploitation, under 14 years",
data:sh,Schleswig-Holstein,
data:share of adults suffering from obesity,Share of adults suffering from obesity,
data:share of all persons in the respective age group in %,Share of all persons in the respective age group in %,
data:share of expenditure for official development assistance in gross national income,Share of expenditure for official development assistance in gross national income,
data:share of overweight and obese 11- to 17-year-old adolescents,Share of overweight and obese 11- to 17-year-old adolescents,
data:share of people in households that spend more than 40% of their disposable income on living expenses,Share of people in households that spend more than 40% of their disposable income on living expenses,
data:share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,Share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,
data:share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants (%),Share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,
data:share of tourism industries to total value added,Share of tourism industries to total value added,
data:share of tourism industries to total value added (%),Share of tourism industries to total value added,
data:share of withdrawal in renewable water resources,Share of withdrawal in renewable water resources,
data:share of withdrawal in renewable water resources (excluding cooling water),Share of withdrawal in renewable water resources (excluding cooling water),
data:shares in %,Shares in %,
data:sl,Saarland,
data:sn,Saxony,
data:so2,SO<sub>2</sub>,
data:species diversity and landscape quality,Species diversity and landscape quality,
data:speed,Speed,
data:st,Saxony-Anhalt,
data:standing water bodies,Standing water bodies,
data:strategy for adaptation to climate change,Strategy for Adaptation to Climate Change,
data:strategy for adaptation to climate change (number),Strategy for Adaptation to Climate Change,
data:structural funding balance (share of gross domestic product (at current prices) in %),Structural funding balance (share of gross domestic product (at current prices)),
data:students and researchers from developing and emerging countries in germany,Students and researchers from developing and emerging countries in germany,
data:students from ldcs,Students from LDCs,
data:students from other developing and emerging countries,Students from other developing and emerging countries,
data:stunting among children under the age of 5 years,Stunting among children under the age of 5 years,
data:stunting among children under the age of 5 years (%),Stunting among children under the age of 5 years,
data:sub-index coasts/seas,Sub-index coasts/seas,
data:sub-index farmland,Sub-index farmland,
data:sub-index forests,Sub-index forests,
data:sub-index inland waters,Sub-index inland waters,
data:sub-index settlements,Sub-index settlements,
data:sub-indicator 1: spatial extent of water-related ecosystems,Sub-indicator 1: Spatial extent of water-related ecosystems,
data:sub-indicator 1: spatial extent of water-related ecosystems (%),Sub-indicator 1: Spatial extent of water-related ecosystems,
data:sub-indicator 3:  quantity discharge of water in rivers,Sub-indicator 3:  Quantity discharge of water in rivers,
data:sub-indicator 3:  quantity discharge of water in rivers (%),Sub-indicator 3:  Quantity discharge of water in rivers,
data:sub-indicator 4: water bodies with good quality,Sub-indicator 4: Water bodies with good quality,
data:sub-indicator 4: water bodies with good quality (%),Sub-indicator 4: Water bodies with good quality,
data:subject,Subject,
data:suicide mortality rate,Suicide mortality rate,
data:suicide mortality rate (per 100 000 inhabitants),Suicide mortality rate,
data:sustainability programme,Sustainability Programme,
data:sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,Sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,
data:t per capita,t per capita,
data:technology,Technology,
data:tertiary,Tertiary education,
data:tertiary education,Tertiary education,
data:tertiary or post-secondary non-tertiary education,Total,
data:th,Thuringia,
data:thuringia,Thuringia,
data:time spent on unpaid domestic and care work,Time spent on unpaid domestic and care work,
data:time spent on unpaid domestic and care work (%),Time spent on unpaid domestic and care work,
data:timeseries,Time series,
data:title,Time series,
data:tonnes,t,
data:total,Total,
data:total female persons in employment,Total female persons in employment,
data:total female persons in employment (%),Total female persons in employment,
data:total municipal solid waste generated,Total municipal solid waste generated,
data:total nitrogen input into baltic/north seas via selected german inflows,Total nitrogen input into baltic/north seas via selected german inflows,
data:total official and private flows (net disbursements),Total Official and Private Flows (net disbursements),
"data:total official and private flows (net disbursements) (mn usd, constant prices (2016))",Total Official and Private Flows (net disbursements),
data:total official development assistance regarding food security,Total official development assistance regarding food security,
data:trade balance,Trade balance,
data:transboundary basin area with an operational arrangement for water cooperation,Transboundary basin area with an operational arrangement for water cooperation,
data:transboundary basin area with an operational arrangement for water cooperation (%),Transboundary basin area with an operational arrangement for water cooperation,
data:transferring files between a computer or other devices,Transferring files between a computer or other devices,
data:transport area,Transport area,
data:transport via pipeline: crude oil,Transport via pipeline: crude oil,
data:travel time by public transport to the nearest medium-sized or large city,Travel time by public transport to the nearest medium-sized or large city,
data:tuberculosis incidence,Tuberculosis incidence,
data:tuberculosis incidence (per 100 000 inhabitants),Tuberculosis incidence,
data:type of account,Type of account,
data:type of dependence,Type of dependence,
data:type of dependence (1 000),Type of dependence,
data:type of disease,Type of disease,
data:type of flow,Type of flow,
data:type of treatment,Type of treatment,
data:type of waste treatment,Type of waste treatment,
data:type of water body,Type of water body,
data:typification,Spatial typologie,
data:under 14 years,Under 14 years,
data:under 18 years,under 18 years,
data:under-five mortality rate,Under-five mortality rate,
data:under-five mortality rate (per 1 000 live births),Under-five mortality rate,
data:unemployed persons with unemployment benefits,Unemployed persons with unemployment benefits,
data:unemployed persons with unemployment benefits (%),Unemployed persons with unemployment benefits,
data:unemployment rate,Unemployment rate,
data:unemployment rate (%),Unemployment rate,
data:unit,Unit of measure,
data:unknown,Unknown,
data:unsentenced detainees,Unsentenced detainees,
data:unsentenced detainees (%),Unsentenced detainees,
data:untreated wastewater that does not have to undergo treatment,Untreated wastewater that does not have to undergo treatment,
data:urban,Urban,
data:urbanisation,Degree of urbanisation,
data:use of the emas eco-management system in germany,Use of the emas eco-management system in germany,
data:victims of criminal offences,Victims of criminal offences,
data:victims of female genital mutilation,Victims of female genital mutilation,
data:victims of female genital mutilation (number),Victims of female genital mutilation,
data:victims of human trafficking,Victims of human trafficking,
data:victims of intentional homicide,Victims of intentional homicide,
data:violence against women,violence against women,
data:wastewater safely treated,Wastewater safely treated,
data:wastewater safely treated (%),Wastewater safely treated,
data:wasting among children under the age of 5 years,Wasting among children under the age of 5 years,
data:wasting among children under the age of 5 years (%),Wasting among children under the age of 5 years,
data:water bodies with good quality,Water bodies with good quality,
data:water bodies with good quality (%),Water bodies with good quality,
data:water use efficiency,Water use efficiency,
data:water use efficiency (2010 = 100),Water use efficiency,
data:women in managerial positions,Women in managerial positions,
data:women in managerial positions (%),Women in managerial positions,
data:women on supervisory boards,Women on supervisory boards,
data:working population,Working population,
data:writing a computer program using a programming language,Writing a computer program using a programming language,
data:young people (15 to under 25 years) neither in employment nor in education and training  (neet rates),Young people (15 to under 25 years) neither in employment nor in education and training  (NEET rates),
data:young people (15 to under 25 years) neither in employment nor in education and training (neet rates) (%),Young people (15 to under 25 years) neither in employment nor in education and training  (NEET rates),
data:young victims being exploited or intended to being exploited,Young victims being exploited or intended to being exploited,
frontpage:heading,National Data for UN-SDGs,
frontpage:heading_dns,Sustainable Development in Germany,
frontpage:indstructions_dns,"Click on eack goal, or %before_link search %after_link for the indicators of the German Sustainability Strategy",
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for German statistics for Sustainable Development Goal global indicators.",
frontpage:link_18_title,Click here to get to the DESTATIS page about the German Sustainability Strategy,
menu:about,About,
menu:about_this_site,About&nbspthis&nbspite,
menu:agenda,Agenda 2030,
menu:contact_us,Contact us,
menu:cookies,Cookies,
menu:faq,FAQ,
menu:guidance,Guidance,
menu:imprint,Legal Notice,
menu:indicator_status,Indicator status,
menu:menu,Menu,
menu:publications,Publications,
menu:reporting_status,Reporting Status,
menu:status,Methodology,
menu:status_summary,Summary,
menu:status_title,Evaluation,
summary:1-1-ab_1,1.1.a - material deprivation,
summary:1-1-ab_1_target,percentage of persons who are materially deprived should stay below the level within the european union,
summary:1-1-ab_2,1.1.b - severe material deprivation,
summary:1-1-ab_2_target,percentage of persons who are severely materially deprived should stay below the level within the european union,
summary:10-1-a_1,10.1 - foreign school graduates,
summary:10-1-a_1_target,increase the proportion of foreign school leavers with a least a secondary general school certificate by 2030,
summary:10-1-a_2,10.1 - foreign school graduates,
summary:10-1-a_2_target,bring their proportion into line with that of german school graduates by 2030,
summary:10-2-a_1,10.2 - gini coefficient of income distribution,
summary:10-2-a_1_target,gini coefficient of income after social transfers to be below the eu-28 average by 2030,
summary:11-1-a_1,11.1.a - expansion of settlement and transport area,
summary:11-1-a_1_target,limit to 30 ha minus x per day by 2030,
summary:11-1-b_1,11.1.b - loss of open space area,
summary:11-1-b_1_target,reduce the loss of per capita open space area,
summary:11-1-c_1,11.1.c - density of settlements,
summary:11-1-c_1_target,no decrease in the density of settlements,
summary:11-2-a_1,11.2.a - final energy consumption in goods transport,
summary:11-2-a_1_target,reduce by 15 to 20&nbsp;% by 2030,
summary:11-2-b_1,11.2.b - final energy consumption in passenger transport,
summary:11-2-b_1_target,reduce by 15 to 20&nbsp;% by 2030,
summary:11-2-c_1,11.2.c - accessibility of medium-sized and large cities by public transport,
summary:11-2-c_1_target,reduce the average travel time by public transport,
summary:11-3-a_1,11.3 - housing cost overload,
summary:11-3-a_1_target,reduce the proportion of people who overburdened to 13&nbsp;% by 2030,
summary:12-1-a_1,12.1.a - market share of products certified by publicly managed eco-labelling schemes,
summary:12-1-a_1_target,34&nbsp;% by 2030,
summary:12-1-b_1,12.1.b - energy consumption and co<sub>2</sub> emissions from consumption,
summary:12-1-b_1_target,reduce energy consumption continuously,
summary:12-2-a_1,12.2 - emas eco-management,
summary:12-2-a_1_target,"5,000 locations of organisations by 2030",
summary:12-3-ab_1,12.3 - responsible procurement,
summary:12-3-ab_1_target,95&nbsp;% by 2020,
summary:12-3-ab_2,12.3 - responsible procurement,
summary:12-3-ab_2_target,reduce significantly,
summary:13-1-a_1,13.1.a - greenhouse gas emissions,
summary:13-1-a_1_target,"reduce by at least 40&nbsp;% by 2020, by at least 55&nbsp;% by 2030, by at least 70&nbsp;% by 2040 and by 80 to 95&nbsp;% by 2050 – in each case compared with 1990",
summary:13-1-b_1,13.1.b - international climate finance for the reduction of greenhouse gases and adaptation to climate change,
summary:13-1-b_1_target,double finance by 2020 relative to 2014,
summary:14-1-a_1,14.1.aa - nitrogen input to the north sea through german inflows,
summary:14-1-a_1_target,maintain a good quality in accordance with the ordinance on the protection of surface waters (keep annual averages of total nitrogen below 2.8 milligrams per litre),
summary:14-1-a_2,14.1.ab - nitrogen input to the baltic sea through german inflows,
summary:14-1-a_2_target,maintain a good quality in accordance with the ordinance on the protection of surface waters (keep annual averages of total nitrogen below 2.6 milligrams per litre),
summary:14-1-b_1,14.1.b - proportion of sustainably fished stocks of fish in the north and the baltic sea,
summary:14-1-b_1_target,manage sustainably all fish stocks used for economic purposes in accordance with the msy approach by 2020,
summary:15-1-a_1,15.1 - biodiversity and landscape quality,
summary:15-1-a_1_target,increase to an index value of 100 by 2030,
summary:15-2-a_1,15.2 - eutrophication of ecosystems,
summary:15-2-a_1_target,reduce the proportion by 35&nbsp;% compared with 2005,
summary:15-3-a_1,15.3 - preservation or restoration of forests in developing countries under the redd+ rulebook,
summary:15-3-a_1_target,increase by 2030,
summary:16-1-a_1,16.1 - criminal offences,
summary:16-1-a_1_target,"reduce the number of criminal offences recorded per 100,000 inhabitants to less than 7,000 by 2030",
summary:16-2-a_1,"16.2 - number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",
summary:16-2-a_1_target,by 2030 at least 15 projects each year,
summary:16-3-ab_1,16.3.a - cpi in germany,
summary:16-3-ab_1_target,improve by 2030,
summary:16-3-ab_2,16.3.b - partner countries,
summary:16-3-ab_2_target,improve by 2030,
summary:17-1-a_1,17.1 - expenditure for official development assistance as a proportion of gross national income,
summary:17-1-a_1_target,increase the proportion to 0.7&nbsp;% of gni by 2030,
summary:17-2-a_1,17.2 - number of students and researchers from developing countries and ldcs per year,
summary:17-2-a_1_target,"increase by 10&nbsp;% by 2020, than stabilise",
summary:17-3-a_1,17.3 - imports from the least developed countries (lcds),
summary:17-3-a_1_target,increase the proportion by 100&nbsp;% by 2030 (base year: 2014),
summary:2-1-a_1,2.1.a - nitrogen surplus in agriculture,
summary:2-1-a_1_target,"on an annual average for the period 2028 to 2032, a reduction of the nitrogen surpluses of the overall balance for germany to 70 kilograms per hectare of utilised agricultural area",
summary:2-1-b_1,2.1.b - organic farming,
summary:2-1-b_1_target,share of organic farming on land used for agriculture to be increased to 20&nbsp;% by 2030,
summary:2-2-a_1,2.2 - support for good governance in attaining appropriate nutrition globally,
summary:2-2-a_1_target,adequate increase of the share of disbursments used for implementating of guidelines and recommendations made by the un  good governance for food security by 2030. angemessene steigerung des anteils der ausgezahlten mittel für die anwendung von leitlinien und empfehlungen des vn-welternährungsausschusses an den gesamtausgaben für ernährungssicherung bis 2030,
summary:3-1-ab_1,3.1.a - premature mortality (female),
summary:3-1-ab_1_target,"reduce the premature mortality to 100 deaths per 100,000 female inhabitants by 2030",
summary:3-1-ab_2,3.1.b - premature mortality (male),
summary:3-1-ab_2_target,"reduce the premature mortality to 190 deaths per 100,000 male inhabitants by 2030",
summary:3-1-cd_1,3.1.c - smoking rate among adolescents,
summary:3-1-cd_1_target,reduce the proportion to 7&nbsp;% by 2030,
summary:3-1-cd_2,3.1.d - smoking rate among adults,
summary:3-1-cd_2_target,reduce the proportion to 19&nbsp;% by 2030,
summary:3-1-e_1,3.1.e - obesity rate among adolescents,
summary:3-1-e_1_target,further increase is to be permanently stopped.,
summary:3-1-f_1,3.1.f - share of adults suffering from obesity,
summary:3-1-f_1_target,further increase is to be permanently stopped.,
summary:3-2-a_1,3.2.a - emissions of air pollutants,
summary:3-2-a_1_target,reduce emissions to 55&nbsp;% of the 2005 value by 2030,
summary:3-2-b_1,3.2.b - share of the population with excessive exposure to pm<sub>10</sub> in germany,
summary:3-2-b_1_target,who particulate matter guideline value of 20 micrograms/ cubic metre for pm<sub>10</sub> to be adhered to as widely as possible by 2030,
summary:4-1-a_1,4.1.a - early school leavers,
summary:4-1-a_1_target,reduce the proportion to below 10&nbsp;% by 2020,
summary:4-1-b_1,4.1.b - 30- bis 34-jährige mit tertiärem oder postsekundarem nicht-tertiären abschluss,
summary:4-1-b_1_target,increase the proportion to 42&nbsp;% by 2020,
summary:4-2-ab_1,4.2.a - children in institutional all-day care (0 to 2-year-olds),
summary:4-2-ab_1_target,increase the proportion to 35&nbsp;% by 2030,
summary:4-2-ab_2,4.2.b - children in institutional all-day care (3 to 5-year-olds),
summary:4-2-ab_2_target,increase the proportion to 60&nbsp;% by 2020 and 70&nbsp;% by 2030,
summary:5-1-a_1,5.1.a - gender pay gap,
summary:5-1-a_1_target,"reduce the gap to 10&nbsp;% by 2020, maintain that proportion up to 2030",
summary:5-1-b_1,5.1.b - women in management positions in business,
summary:5-1-b_1_target,30&nbsp;% women in supervisory boards of listed and fully co-determined companies by 2030,
summary:5-1-c_1,5.1.c - vocational qualification of women and girls through german development assistance,
summary:5-1-c_1_target,increase gradually by one third by 2030 compared with base year 2015,
summary:6-1-a_1,6.1.a - phosphorous in flowing waters,
summary:6-1-a_1_target,not exceeding benchmark values for specific types of water bodies at all monitoring points by 2030,
summary:6-1-b_1,6.1.b - nitrate in groundwater,
summary:6-1-b_1_target,not exceeding the threshold value of 50&nbsp;mg/l of nitrate in groundwater by 2030,
summary:6-2-a_1,6.2 - development cooperation for drinking water and sanitation,
summary:6-2-a_1_target,give 10 million people access to water each year till 2030,
summary:7-1-ab_1,7.1.a - final energy productivity,
summary:7-1-ab_1_target,increase energy productivity by 2.1&nbsp;% per year from 2008 to 2050,
summary:7-1-ab_2,7.1.b - primary energy consumption,
summary:7-1-ab_2_target,reduce consumption by 20&nbsp;% by 2020 and by 50&nbsp;% by 2050 compared with 2008,
summary:7-2-a_1,7.2.a - share of renewable energies in gross final energy consumption,
summary:7-2-a_1_target,"increase the proportion to 18&nbsp;% by 2020, to 30&nbsp;% by 2030 and to 60&nbsp;% by 2050",
summary:7-2-b_1,7.2.b - share of electricity from renewable energy sources in electricity consumption,
summary:7-2-b_1_target,"increase the proportion to at least 35&nbsp;% by 2020, to at least 50&nbsp;% by 2030 and to at least 80&nbsp;% by 2050",
summary:8-1-a_1,8.1 - raw material input productivity,
summary:8-1-a_1_target,trend of the years 2000 – 2010 to be continued up to 2030,
summary:8-2-ab_1,8.2.a - government deficit,
summary:8-2-ab_1_target,"annual government deficit less than 3&nbsp;% of gdp, to be continued up to 2030",
summary:8-2-ab_2,8.2.b - structural deficit,
summary:8-2-ab_2_target,"structurally balanced government budget, general government structural deficit must not exceed 0.5&nbsp;% of gdp, to be continued up to 2030",
summary:8-2-c_1,8.2.c - government debt,
summary:8-2-c_1_target,"ratio of government debt to gdp must not exceed 60&nbsp;%, to be continued up to 2030",
summary:8-3-a_1,8.3 - gross fixed capital formation in relation to gdp,
summary:8-3-a_1_target,"appropriate development of the ratio, to be continued up to 2030",
summary:8-4-a_1,8.4 - gross domestic product per capita,
summary:8-4-a_1_target,continued and appropriate economic growth,
summary:8-5-ab_1,"8.5.a - employment rate, total (20-64 years)",
summary:8-5-ab_1_target,increase the rate to 78&nbsp;% by 2030,
summary:8-5-ab_2,"8.5.b - employment rate, elders (60-64 years)",
summary:8-5-ab_2_target,increase the rate to 60% by 2030,
summary:8-6-a_1,8.6 - number of members of the textiles partnership,
summary:8-6-a_1_target,increase the number significantly by 2030,
summary:9-1-a_1,9.1 - private and public expenditure on research and development,
summary:9-1-a_1_target,at least 3.5&nbsp;% of gdp per year by 2025,
summary:indicator,Indicator,
summary:status,Evaluation,
summary:status_summary,Status summary - Evaluation in previous years,
summary:target,Target,
summary:year,Year,
dns_targets:1.1-title,Limiting poverty,
dns_targets:10.1-title,Improving educational success of foreigners in German schools,
dns_targets:10.2-title,Preventing too-great inequality within Germany,
dns_targets:11.1-title,Using land sustainable,
dns_targets:11.2-title,Guranteeing mobility - Protecting the environment,
dns_targets:11.3-title,Affordable housing for all,
dns_targets:12.1-title,Making consumption environmentally and socially compatible,
dns_targets:12.2-title,Increasing the proportion of sustainable production,
dns_targets:12.3-title,Realising the exemplary role of the public sector in sustainable procurement,
dns_targets:13.1-title,Reducing greenhouse gases and contributing to international climate financing,
dns_targets:14.1-title,Protecting and sustainably using oceans and marine resources,
dns_targets:15.1-title,Conserving species - Protecting habitats,
dns_targets:15.2-title,"Protecting ecosystems, conserving ecosystem services and preserving habitats",
dns_targets:15.3-title,Preventing deforestation,
dns_targets:16.1-title,Further increasing personal security,
dns_targets:16.2-title,"Taking practical action to combat proliferation, especially of small arms",
dns_targets:16.3-title,Combating corruption,
dns_targets:17.1-title,Supporting sustainable development,
dns_targets:17.2-title,Sharing knowledge internationally,
dns_targets:17.3-title,Improving trade opportunities for developing countries,
dns_targets:2.1-title,Environmentally sound production in our cultivated landscapes,
dns_targets:2.2-title,Realising globally the right to food,
dns_targets:3.1-title,Living healthy longer,
dns_targets:3.2-title,Keeping the environment healthy,
dns_targets:4.1-title,Continuously improving education and vocational training,
dns_targets:4.2-title,Improving the compatibility of work and family life,
dns_targets:5.1-title,Promoting equal opportunities in society and strengthening the economic participation of women globally,
dns_targets:6.1-title,Reducing the pollution of water with substances,
dns_targets:6.2-title,"Better access to drinking water and sanitation worldwide, higher (safer) quality",
dns_targets:7.1-title,Using resources economically and efficiently,
dns_targets:7.2-title,Strengthening a sustainable energy supply,
dns_targets:8.1-title,Using resources economically and efficiently,
dns_targets:8.2-title,Consolidating public finances - Creating intergenerational equity,
dns_targets:8.3-title,Creating favourable investment conditions - Securing long-term prosperity,
dns_targets:8.4-title,Combining larger economic output with environmental and social responsibility,
dns_targets:8.5-title,Boosting employment levels,
dns_targets:8.6-title,Enabling decent work worldwide,
dns_targets:9.1-title,Shaping the future with new solutions,
dns_ranges:1.1-title,Poverty,
dns_ranges:10.1-title,Equal educational opportunities,
dns_ranges:10.2-title,Distributive justice,
dns_ranges:11.1-title,Land use,
dns_ranges:11.2-title,Mobility,
dns_ranges:11.3-title,Housing,
dns_ranges:12.1-title,Responsible consumption,
dns_ranges:12.2-title,Responsible production,
dns_ranges:12.3-title,Responsible procurement,
dns_ranges:13.1-title,Climate protection,
dns_ranges:14.1-title,Protecting the oceans,
dns_ranges:15.1-title,Biodiversity,
dns_ranges:15.2-title,Ecosystems,
dns_ranges:15.3-title,Forests,
dns_ranges:16.1-title,Crime,
dns_ranges:16.2-title,Peace and security,
dns_ranges:16.3-title,Good governance,
dns_ranges:17.1-title,Development cooperation,
dns_ranges:17.2-title,"Knowledge transfer, espaecially in technical areas",
dns_ranges:17.3-title,Opening markets,
dns_ranges:2.1-title,Farming,
dns_ranges:2.2-title,Food security,
dns_ranges:3.1-title,Health and nutrition,
dns_ranges:3.2-title,Air pollution,
dns_ranges:4.1-title,Education,
dns_ranges:4.2-title,Prospects for families,
dns_ranges:5.1-title,Equality,
dns_ranges:6.1-title,Water quality,
dns_ranges:6.2-title,Drinking water and sanitation,
dns_ranges:7.1-title,Recource conservation,
dns_ranges:7.2-title,Renewable energies,
dns_ranges:8.1-title,Recource conservation,
dns_ranges:8.2-title,Government dept,
dns_ranges:8.3-title,Provision for future economic stability,
dns_ranges:8.4-title,Economic output,
dns_ranges:8.5-title,Employment,
dns_ranges:8.6-title,Global supply chains,
dns_ranges:9.1-title,Innovation,
general:dns,Sustainable development in Germany,
general:dns_target,Range of indicators and postulates,
general:found_in_goals,goals,
general:global,- Global,
general:goal,Goal,
general:goals,Goals,
general:home,Home,
general:indicator,Indicator,
general:indicator_cap,Indicator,
general:indicator_link_dns,Related national indicator:,
general:indicator_link_sdg,Related global indicator:,
general:indicator_low,indicator,
general:indicators,Indicators,
general:indicators_cap,Indicators,
general:indicators_low,indicators,
general:link_dns,To the page of the national indicators,
general:link_sdg,To the page of the global indicators,
general:link_sdg_goal,Go to the page of the corresponding SDG Goal,
general:link_sdg_indicator,Go to the page of the corresponding SDG indicator,
general:loading,Loading search results,
general:meta,Current status of the national indicators for the 17 Sustainable Development Goals (SDGs) in Germany with a publicly available data basis,
general:meta_goal,Current status of the national indicators for Sustainable Development Goal,
general:meta_indicator,Data for Germany for SDG indicator,
general:national,- National,
general:next_goal,Next goal,
general:next_indicator,Next indicator,
general:one_goal,one goal,
general:one_indicator,One indicator,
general:opens_new_window,opens in a new window,
general:prev_goal,Previous goal,
general:prev_indicator,Previous indicator,
general:sdg,Sustainable Development Goals,
general:target,Target,
general:target_link_dns,National indicators on,
general:target_link_sdg,Global indicators on,
general:targets,Targets,
general:title,German Indicators For The Sustainable Development Goals,
general:title_dns,Indicators on the German Sustainability Strategy,
search:found_in,found in,
search:goals,goals,
search:indicator_search,Indicator search,
search:indicators,indicators,
search:keywords,Keywords,
search:no_results,No results,
search:search,Search,
search:search_results_for,Search results for,
