key,en,de
summary:11-1-a_1_target,Limit to 30 ha minus x per day by 2030,Senkung des Anstiegs auf 30 ha minus x pro Tag bis 2030
summary:11-1-b_1,11.1.b - Loss of open space area,11.1.b - Freiraumverlust
summary:11-1-b_1_target,Reduce the loss of per capita open space area,Verringerung des einwohnerbezogenen Freiflächenverlusts
summary:11-1-c_1,11.1.c - Density of settlements,11.1.c - Siedlungsdichte
summary:11-1-c_1_target,No decrease in the density of settlements,Keine Verringerung der Siedlungsdichte
summary:11-2-a_1,11.2.a - Final energy consumption in goods transport,11.2.a - Endenergieverbrauch im Güterverkehr
summary:11-2-a_1_target,Reduce by 15 to 20&nbsp;% by 2030,Senkung um 15 bis 20&nbsp;% bis 2030
summary:11-2-b_1,11.2.b - Final energy consumption in passenger transport,11.2.b - Endenergieverbrauch im Personenverkehr
summary:11-2-b_1_target,Reduce by 15 to 20&nbsp;% by 2030,Senkung um 15 bis 20&nbsp;% bis 2030
summary:11-2-c_1,11.2.c - Accessibility of medium-sized and large cities by public transport,11.2.c - Erreichbarkeit von Mittel- und Oberzentren mit öffentlichen Verkehrsmitteln
summary:11-2-c_1_target,Reduce the average travel time by public transport,Verringerung der durchschnittlichen Reisezeit mit öffentlichen Verkehrsmitteln
summary:11-3-a_1,11.3 - Housing cost overload,11.3 - Überlastung durch Wohnkosten
summary:11-3-a_1_target,Reduce the proportion of people who overburdened to 13&nbsp;% by 2030,"Senkung des Anteils der Bevölkerung, der in Haushalten lebt, die mehr als 40&nbsp;% ihres verfügbaren Haushaltseinkommens für Wohnen ausgeben, auf 13&nbsp;% bis 2030"
summary:12-1-a_1,12.1.a - Market share of products certified by publicly managed eco-labelling schemes,12.1.a - Marktanteil von Produkten mit staatlichen Umweltzeichen
summary:12-1-a_1_target,34&nbsp;% by 2030,Steigerung des Marktanteils auf 34&nbsp;% bis 2030
summary:12-1-b_1,12.1.b - Energy consumption and CO<sub>2</sub> emissions from consumption,12.1.b - Energieverbrauch und CO<sub>2</sub>-Emissionen des Konsum
summary:12-1-b_1_target,Reduce energy consumption continuously,Kontinuierliche Abnahme des Energieverbrauchs
summary:12-2-a_1,12.2 - EMAS eco-management,12.2 - Umweltmanagement EMAS
summary:12-2-a_1_target,"5,000 locations of organisations by 2030",5&nbsp;000 Organisationsstandorte bis 2030
summary:12-3-ab_1,12.3 - Responsible procurement,12.3 - Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
summary:12-3-ab_1_target,95&nbsp;% by 2020,Steigerung des Anteils auf 95&nbsp;% bis 2020
summary:12-3-ab_2,12.3 - Responsible procurement,12.3 - CO<sub>2</sub>-Emissionen von handelüblichen Kraftfahrzeugen der öffenlichen Hand
summary:12-3-ab_2_target,Reduce significantly,Signifikante Senkung der CO<sub>2</sub>-Emissionen
summary:13-1-a_1,13.1.a - Greenhouse gas emissions,13.1.a - Treibhausgasemissionen
summary:13-1-a_1_target,"Reduce by at least 40&nbsp;% by 2020, by at least 55&nbsp;% by 2030, by at least 70&nbsp;% by 2040 and by 80 to 95&nbsp;% by 2050 – in each case compared with 1990","Reduzierung um mindestens 40&nbsp;% bis 2020, um mindestens 55&nbsp;% bis 2030, um mindestens 70&nbsp;% bis 2040 und um 80 bis 95&nbsp;% bis 2050 jeweils gegenüber 1990"
summary:13-1-b_1,13.1.b - International climate finance for the reduction of greenhouse gases and adaptation to climate change,13.1.b - Internationale Klimafinanzierung zur Reduktion von Treibhausgasen und zur Anpassung an den Klimawandel
summary:13-1-b_1_target,Double finance by 2020 relative to 2014,Verdopplung der Finanzierung bis 2020 gegenüber 2014
summary:14-1-a_1,14.1.aa - Nitrogen input to the North Sea through German inflows,14.1.aa - Stickstoffeintrag über die Zuflüsse in die Nordsee
summary:14-1-a_1_target,Maintain a good quality in accordance with the Ordinance on the Protection of Surface Waters (keep annual averages of total nitrogen below 2.8 milligrams per litre),"Jahresmittelwerte für Gesamtstickstoff sollen unter 2,8&nbsp;mg/l liegen"
summary:14-1-a_2,14.1.ab - Nitrogen input to the Baltic Sea through German inflows,14.1.ab - Stickstoffeintrag über die Zuflüsse in die Ostsee
summary:14-1-a_2_target,Maintain a good quality in accordance with the Ordinance on the Protection of Surface Waters (keep annual averages of total nitrogen below 2.6 milligrams per litre),"Jahresmittelwerte für Gesamtstickstoff sollen unter 2,6&nbsp;mg/l liegen"
summary:14-1-b_1,14.1.b - Proportion of sustainably fished stocks of fish in the North and the Baltic Sea,14.1.b - Anteil der nachhaltig befischten Fischbestände in Nord- und Ostsee
summary:14-1-b_1_target,Manage sustainably all fish stocks used for economic purposes in accordance with the MSY approach by 2020,Nachhaltige Bewirtschaftung aller wirtschaftlich genutzten Fischbestände nach MSY-Ansatz bis 2020
summary:15-1-a_1,15.1 - Biodiversity and landscape quality,15.1 - Artenvielfalt und Landschaftsqualität
summary:15-1-a_1_target,Increase to an index value of 100 by 2030,Anstieg auf den Indexwert 100 bis 2030
summary:15-2-a_1,15.2 - Eutrophication of ecosystems,15.2 - Eutrophierung der Ökosysteme
summary:15-2-a_1_target,Reduce the proportion by 35&nbsp;% compared with 2005,Verringerung des Flächenanteils mit erhöhtem Stickstoffeintrag um 35&nbsp;% gegenüber 2005 bis 2030
summary:15-3-a_1,15.3 - Preservation or restoration of forests in developing countries under the REDD+ rulebook,15.3 - Erhalt bzw. Wiederaufbau von Wäldern in Entwicklungsländern unter dem REDD+-Regelwerk
summary:15-3-a_1_target,Increase by 2030,Steigerung der Zahlungen Deutschlands an Entwicklungs- und Schwellenländer bis 2030
summary:16-1-a_1,16.1 - Criminal offences,16.1 - Straftaten
summary:16-1-a_1_target,"Reduce the number of criminal offences recorded per 100,000 inhabitants to less than 7,000 by 2030",Rückgang der Zahl der erfassten Straftaten je 100&nbsp;000 Einwohner/ -innen auf unter 7&nbsp;000 bis 2030
summary:16-2-a_1,"16.2 - Number of projects to secure, register and destroy small arms and light weapons carried out by Germany in affected regions of the world","16.2 - Anzahl der in betroffenen Weltregionen durchgeführten Projekte zur Sicherung, Registrierung und Zerstörung von Kleinwaffen und leichten Waffen durch Deutschland"
summary:16-2-a_1_target,By 2030 at least 15 projects each year,"Mindestens 15 Projekte in den betroffenen Weltregionen zur Sicherung, Registrierung und Zerstörung von Kleinwaffen und leichten Waffen jährlich durch Deutschland bis 2030"
summary:16-3-ab_1,16.3.a - CPI in Germany,16.3.a - Corruption Perception Index in Deutschland
summary:16-3-ab_1_target,Improve by 2030,Verbesserung gegenüber 2012 bis 2030
summary:16-3-ab_2,16.3.b - Partner countries,16.3.b - Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit
summary:16-3-ab_2_target,Improve by 2030,Verbesserung gegenüber 2012 bis 2030
summary:17-1-a_1,17.1 - Expenditure for official development assistance as a proportion of gross national income,17.1 - Anteil öffentlicher Entwicklungsausgaben am Bruttonationaleinkommen
summary:17-1-a_1_target,Increase the proportion to 0.7&nbsp;% of GNI by 2030,"Steigerung des Anteils auf 0,7&nbsp;% des  Bruttonationaleinkommens bis 2030"
summary:17-2-a_1,17.2 - Number of students and researchers from developing countries and LDCs per year,17.2 - Anzahl der Studierenden und Forschenden aus Entwicklungsländern sowie LDCs pro Jahr
summary:17-2-a_1_target,"Increase by 10&nbsp;% by 2020, than stabilise","Steigerung der Anzahl um 10&nbsp;% von 2015 bis 2020, anschließend Verstetigung"
summary:17-3-a_1,17.3 - Imports from the least developed countries (LCDs),17.3 - Einfuhren aus am wenigsten entwickelten Ländern
summary:17-3-a_1_target,Increase the proportion by 100&nbsp;% by 2030 (base year: 2014),Verdopplung des Anteils von 2014 bis 2030
summary:2-1-a_1,2.1.a - Nitrogen surplus in agriculture,2.1.a - Stickstoffüberschuss der Landwirtschaft
summary:2-1-a_1_target,"On an annual average for the period 2028 to 2032, a reduction of the nitrogen surpluses of the overall balance for Germany to 70 kilograms per hectare of utilised agricultural area",Verringerung der Stickstoffüberschüsse der Gesamtbilanz für Deutschland auf 70&nbsp;kg/ ha landwirtschaftlich genutzter Fläche im Jahresmittel 2028-2032
summary:2-1-b_1,2.1.b - Organic farming,2.1.b - Ökologischer Landbau
summary:2-1-b_1_target,Share of organic farming on land used for agriculture to be increased to 20&nbsp;% by 2030,Erhöhung des Anteils des ökologischen Landbaus an der landwirtschaftlich genutzten Fläche auf 20&nbsp;% bis 2030
summary:2-2-a_1,2.2 - Support for good governance in attaining appropriate nutrition globally,2.2 - Unterstützung guter Regierungsführung bei der Erreichung einer angemessenen Ernährung weltweit
summary:2-2-a_1_target,Adequate increase of the share of disbursments used for implementating of guidelines and recommendations made by the UN  good governance for food security by 2030. Angemessene Steigerung des Anteils der ausgezahlten Mittel für die Anwendung von Leitlinien und Empfehlungen des VN-Welternährungsausschusses an den Gesamtausgaben für Ernährungssicherung bis 2030,Angemessene Steigerung des Anteils der ausgezahlten Mittel für die Anwendung von Leitlinien und Empfehlungen des VN-Welternährungsausschusses an den Gesamtausgaben für Ernährungssicherung bis 2030
summary:3-1-ab_1,3.1.a - Premature mortality (female),3.1.a - Vorzeitige Sterblichkeit (weiblich)
